,dms_orig_string,dms_orig_coordinates,longitude,latitude,hot_days_hist_py,hot_days_future_py,hot_days_future2_py,hot_days_future3_py
16,Cleveland OH,"(-81.6936772, 41.4996574)",278.3063228,41.4996574,0.04303397215902518,0.5026464683336376,0.8016207632919016,1.3363449691991787
17,Columbus OH,"(-83.0007065, 39.9622601)",276.9992935,39.9622601,0.10966721937299964,0.8322686621646286,1.2050594097355307,1.7782340862422998
18,Corpus Christi TX,"(-97.4033191, 27.7635302)",262.5966809,27.7635302,0.741294875255466,2.4387661982113524,3.029075179324317,4.078028747433265
19,Dayton OH,"(-84.1916069, 39.7589478)",275.8083931,39.7589478,0.14946207534801217,0.9395875159700676,1.3601270327985544,1.948665297741273
20,Denver CO,"(-105.024387, 39.775168)",254.975613,39.775168,0.23367909613234103,1.382004015331265,1.8325576301812407,2.5104722792607803
21,Detroit MI,"(-83.0466403, 42.3315509)",276.95335969999996,42.3315509,0.044422164809316315,0.5015513779886841,0.7878223731040902,1.2915811088295688
22,El Paso TX-NM (TX Part),"(-106.488234, 31.7550511)",253.511766,31.7550511,1.8934947749971078,3.6992151852527835,4.136231725346328,4.798767967145791
23,Fort Wayne IN,"(-85.1386015, 41.0799898)",274.8613985,41.0799898,0.08375428990089846,0.742471253878445,1.0867874938400044,1.6188911704312114
24,Fresno CA,"(-119.782872, 36.738324)",240.217128,36.738324,2.3261481510045114,3.4309180507391863,3.757104528281224,4.258316221765914
25,Grand Rapids MI,"(-85.6678639, 42.9632425)",274.3321361,42.9632425,0.038869394208151775,0.5661617083409382,0.8922958988118053,1.4521560574948664
26,Greenville SC,"(-82.3984882, 34.851354)",277.6015118,34.851354,0.2651447962056067,1.0972805256433655,1.5237365164540326,2.2340862422997945
27,Hartford CT,"(-72.6908547, 41.764582)",287.3091453,41.764582,0.0680214398642656,0.4555575835006388,0.6945189727865082,1.1852156057494867
28,Houston TX,"(-95.3676974, 29.7589382)",264.6323026,29.7589382,0.7871052327150734,2.5077568899434204,3.0533866287028415,3.8652977412731007
29,Indianapolis IN,"(-86.1583502, 39.7683331)",273.8416498,39.7683331,0.1105926811398604,0.9275415221755795,1.3443574440124841,1.9211498973305954
30,Iowa,"(-93.3122705, 41.9216734)",266.6877295,41.9216734,0.10226352523811359,1.1060412484029933,1.6255817773640693,2.3297741273100616
31,Jacksonville FL-GA  CFS Area (FL Part),"(-81.655651, 30.3321838)",278.34434899999997,30.3321838,0.3109551536652142,1.2210257346231064,1.8489842851667304,2.757289527720739
32,Kansas City MO-KS (KS Part),"(-94.5781416, 39.100105)",265.4218584,39.100105,0.5640689469016311,2.2449352071545903,2.6736023654383176,3.2505133470225873
33,Kansas City MO-KS (MO Part),"(-94.5781416, 39.100105)",265.4218584,39.100105,0.5640689469016311,2.2449352071545903,2.6736023654383176,3.2505133470225873
34,Knoxville TN,"(-83.9210261, 35.9603948)",276.0789739,35.9603948,0.1513129988817337,0.9483482387296952,1.389695011772436,2.113347022587269
35,Laredo TX,"(-99.5075644, 27.5030915)",260.4924356,27.5030915,3.711564415995064,5.341850702682971,5.734873788534195,6.485420944558522
36,Las Vegas NV-AZ (NV Part),"(-115.148516, 36.1672559)",244.851484,36.1672559,3.646782092314811,4.5862383646650855,4.946394349230685,5.434086242299795
37,Los Angeles CA,"(-118.242766, 34.0536909)",241.75723399999998,34.0536909,0.22858905641460686,0.7315203504289104,0.9494606581613098,1.5462012320328542
38,Louisville KY-IN (KY Part),"(-85.759407, 38.2542376)",274.240593,38.2542376,0.30308872864689773,1.3491513049826611,1.7997043202102612,2.3815195071868582
39,Memphis TN-MS-AR (TN Part),"(-90.0517638, 35.1460249)",269.9482362,35.1460249,0.570084448386226,1.869319218835554,2.330613809341291,2.9971252566735114
40,Miami FL,"(-80.19362, 25.7741728)",279.80638,25.7741728,0.030077507422974586,0.4741741193648476,1.2300279253134754,2.5162217659137576
41,Milwaukee WI,"(-87.922497, 43.0349931)",272.077503,43.0349931,0.09115798403578451,0.7621828800876073,1.087444560039424,1.6086242299794662
42,Minneapolis-St. Paul MN-WI (MN Part),"(-93.22092805, 44.87801905)",266.77907195,44.87801905,0.09115798403578451,0.9801058587333455,1.4133493949515412,2.046406570841889
43,Mobile AL,"(-84.853229, 39.092585)",275.146771,39.092585,0.16195580920063238,0.9844862201131593,1.4067787329573453,2.0160164271047227
44,Nashville TN,"(-86.7742984, 36.1622767)",273.2257016,36.1622767,0.36925924497744184,1.5123197663807264,1.9882823194436838,2.637782340862423
45,New Mexico,"(-105.996047, 34.5802074)",254.003953,34.5802074,0.2730112212239232,1.5495528381091441,2.0336198872036357,2.717453798767967
46,New Orleans LA-MS (LA Part),"(-90.0782127, 29.9759983)",269.9217873,29.9759983,0.3910075964986696,1.6984851250228143,2.29973169796857,3.1983572895277206
47,New York NY-NJ-CT-PA (CT Part),"(-74.0060152, 40.7127281)",285.9939848,40.7127281,0.0999498708209617,0.49169556488410293,0.7116026939714176,1.1794661190965092
48,New York NY-NJ-CT-PA (NJ Part),"(-74.0060152, 40.7127281)",285.9939848,40.7127281,0.0999498708209617,0.49169556488410293,0.7116026939714176,1.1794661190965092
49,New York NY-NJ-CT-PA (NY Part),"(-74.0060152, 40.7127281)",285.9939848,40.7127281,0.0999498708209617,0.49169556488410293,0.7116026939714176,1.1794661190965092
50,New York NY-NJ-CT-PA (PA Part),"(-74.0060152, 40.7127281)",285.9939848,40.7127281,0.0999498708209617,0.49169556488410293,0.7116026939714176,1.1794661190965092
51,Oklahoma City OK,"(-97.5170536, 35.4729886)",262.4829464,35.4729886,1.207264874869857,2.6534039058222305,3.051415430104583,3.744147843942505
52,Omaha NE-IA (NE Part),"(-95.9383758, 41.2587459)",264.0616242,41.2587459,0.2762503374079358,1.8474174119364848,2.3043311613645074,2.981930184804928
53,Orlando FL,"(-81.41278419, 28.5479786)",278.58721581,28.5479786,0.36463193614313805,2.055484577477642,2.7498220445709904,3.742505133470226
54,Philadelphia PA-NJ-DE-MD (DE Part),"(-75.1635262, 39.9527237)",284.8364738,39.9527237,0.18833146955616395,0.8815477276875343,1.2142583365274051,1.75564681724846
55,Philadelphia PA-NJ-DE-MD (NJ Part),"(-75.1635262, 39.9527237)",284.8364738,39.9527237,0.18833146955616395,0.8815477276875343,1.2142583365274051,1.75564681724846
56,Philadelphia PA-NJ-DE-MD (PA Part),"(-75.1635262, 39.9527237)",284.8364738,39.9527237,0.18833146955616395,0.8815477276875343,1.2142583365274051,1.75564681724846
57,Phoenix AZ,"(-112.074141, 33.4484367)",247.925859,33.4484367,4.553271892954922,5.402080671655412,5.7841537534906635,6.339630390143737
58,Pittsburgh PA-OH-WV (PA Part),"(-79.9900861, 40.4416941)",280.0099139,40.4416941,0.0490494736436201,0.5519255338565432,0.8758692438263155,1.4451745379876797
59,Portland OR-WA (OR Part),"(-122.674194, 45.5202471)",237.325806,45.5202471,0.1129063355570123,0.4227048731520351,0.5460220117176805,0.951129363449692
60,Portland OR-WA (WA Part),"(-122.674194, 45.5202471)",237.325806,45.5202471,0.1129063355570123,0.4227048731520351,0.5460220117176805,0.951129363449692
61,Raleigh-Durham NC,"(-79.0055354, 35.9017752)",280.9944646,35.9017752,0.3849920950140747,1.4214272677495894,1.7997043202102612,2.4566735112936344
62,Richmond VA,"(-77.46125149, 37.5578678)",282.53874851,37.5578678,0.29429684186172056,1.1607957656506662,1.526364781251711,2.1835728952772073
63,Rochester NY,"(-77.615214, 43.157285)",282.384786,43.157285,0.038406663324721396,0.46869866764008034,0.7142309587690959,1.2193018480492812
64,Sacramento CA,"(-121.493895, 38.5810606)",238.506105,38.5810606,1.3608915281687424,2.3172111699215185,2.6933143514209057,3.3745379876796715
65,Salt Lake City UT,"(-111.886797, 40.7596198)",248.113203,40.7596198,0.5881309528400107,2.005110421609783,2.3766084433006625,2.9700205338809034
66,San Antonio TX,"(-98.4951405, 29.4246002)",261.5048595,29.4246002,2.044345042995411,3.912757802518708,4.2840716202157365,5.136755646817249
67,San Diego CA,"(-117.169295, 32.7166921)",242.830705,32.7166921,0.013881926502911347,0.06570542069720753,0.1163007172972677,0.26036960985626284
68,San Francisco CA,"(-122.419906, 37.7790262)",237.580094,37.7790262,0.014344657386341726,0.029567439313743386,0.049937031155888954,0.10924024640657085
69,Savannah GA,"(-81.0921335, 32.0790074)",278.9078665,32.0790074,0.5108548953071376,1.6842489505384195,2.1788315172753654,3.0053388090349076
70,Seattle WA,"(-122.330062, 47.6038321)",237.669938,47.6038321,0.01804650445378475,0.19273590071180874,0.2700542079614521,0.6747433264887064
71,St. Louis MO-IL (IL Part),"(-90.1910154, 38.6280278)",269.80898460000003,38.6280278,0.47615007904985923,1.9733528016061326,2.3490116629250397,2.8944558521560575
72,St. Louis MO-IL (MO Part),"(-90.1910154, 38.6280278)",269.80898460000003,38.6280278,0.47615007904985923,1.9733528016061326,2.3490116629250397,2.8944558521560575
73,Tampa FL,"(-82.4508736, 27.9529744)",277.5491264,27.9529744,0.1365056106119616,1.3929549187807995,2.1518918030991623,3.2632443531827517
74,Tucson AZ,"(-110.974847, 32.2228765)",249.025153,32.2228765,3.6495584776153933,4.870961854352984,5.309751957509719,5.880903490759754
75,Tulsa OK,"(-95.9927516, 36.1563122)",264.0072484,36.1563122,1.0212470597308447,2.41905457200219,2.9055467338334338,3.6484599589322384
76,Vermont,"(-72.5002608, 44.5990718)",287.4997392,44.5990718,0.001850923533721513,0.06789560138711444,0.14586869627114932,0.4295687885010267
77,Virginia Beach-Norfolk VA-NC (VA Part),"(-76.2863999, 36.8448348)",283.7136001,36.8448348,0.18324142983842978,0.8333637525095821,1.095329354432459,1.6570841889117043
78,Washington DC-VA-MD-WV (MD Part),"(-77.0365427, 38.8950368)",282.9634573,38.8950368,0.26144294913816374,1.1301332359919694,1.4875978754859551,2.0997946611909653
79,Washington DC-VA-MD-WV (VA Part),"(-77.0365427, 38.8950368)",282.9634573,38.8950368,0.26144294913816374,1.1301332359919694,1.4875978754859551,2.0997946611909653
80,Wichita KS,"(-97.3375448, 37.6922361)",262.6624552,37.6922361,1.0513245671538194,2.5296586968424895,2.9232875212177625,3.5203285420944557
81,Wyoming,"(-107.568534, 43.1700264)",252.431466,43.1700264,0.09439710021979716,0.7435663442233985,1.1538082461808026,1.7593429158110883
