,dms_orig_string,dms_orig_coordinates,longitude,latitude,hot_days_hist_py,hot_days_future_py,hot_days_future2_py,hot_days_future3_py
0,Albany NY  CFS Area,"(-73.754968, 42.6511674)",286.245032,42.6511674,0.0,0.0,0.0,0.125
1,Atlanta GA,"(-84.3902644, 33.7489924)",275.6097356,33.7489924,0.017543859649122806,0.16666666666666666,0.32,0.9375
2,Austin TX,"(-97.7436995, 30.2711286)",262.2563005,30.2711286,1.3742690058479532,3.6666666666666665,4.1,5.0
3,Baltimore MD,"(-76.610759, 39.2908816)",283.38924099999997,39.2908816,0.0,0.0,0.04,0.4375
4,Baton Rouge LA,"(-82.502277, 28.2968872)",277.497723,28.2968872,0.0,0.06666666666666667,0.16,0.9375
5,Beaumont TX,"(-94.1018461, 30.0860459)",265.8981539,30.0860459,0.0,0.0,0.16,1.0625
6,Birmingham AL,"(-86.765783, 33.570499)",273.234217,33.570499,0.30994152046783624,1.1666666666666667,1.64,2.275
7,Boston MA-RI-NH-CT (MA Part),"(-71.060511, 42.3554334)",288.939489,42.3554334,0.0,0.0,0.0,0.0125
8,Boston MA-RI-NH-CT (RI Part),"(-71.060511, 42.3554334)",288.939489,42.3554334,0.0,0.0,0.0,0.0125
9,Buffalo NY  CFS Area,"(-78.8783922, 42.8867166)",281.1216078,42.8867166,0.0,0.0,0.04,0.425
10,Charleston SC,"(-79.9399309, 32.7884363)",280.0600691,32.7884363,0.0,0.0,0.0,0.3125
11,Charlotte NC-SC (NC Part),"(-80.8430827, 35.2272086)",279.15691730000003,35.2272086,0.005847953216374269,0.06666666666666667,0.16,0.7
12,Chicago IL-IN-WI (IL Part),"(-87.6244212, 41.8755616)",272.37557879999997,41.8755616,0.0,0.16666666666666666,0.46,0.9625
13,Chicago IL-IN-WI (IN Part),"(-87.6244212, 41.8755616)",272.37557879999997,41.8755616,0.0,0.16666666666666666,0.46,0.9625
14,Cincinnati OH-KY-IN (KY Part),"(-84.5124602, 39.1014537)",275.4875398,39.1014537,0.017543859649122806,0.6,1.08,1.7625
15,Cincinnati OH-KY-IN (OH Part),"(-84.5124602, 39.1014537)",275.4875398,39.1014537,0.017543859649122806,0.6,1.08,1.7625
16,Cleveland OH,"(-81.6936772, 41.4996574)",278.3063228,41.4996574,0.0,0.06666666666666667,0.2,0.675
17,Columbus OH,"(-83.0007065, 39.9622601)",276.9992935,39.9622601,0.017543859649122806,0.6,1.08,1.7625
18,Corpus Christi TX,"(-97.4033191, 27.7635302)",262.5966809,27.7635302,1.7017543859649122,3.9,4.44,5.525
19,Dayton OH,"(-84.1916069, 39.7589478)",275.8083931,39.7589478,0.017543859649122806,0.6,1.08,1.7625
20,Denver CO,"(-105.024387, 39.775168)",254.975613,39.775168,0.05263157894736842,0.8333333333333334,1.26,1.7625
21,Detroit MI,"(-83.0466403, 42.3315509)",276.95335969999996,42.3315509,0.0,0.23333333333333334,0.68,1.225
22,El Paso TX-NM (TX Part),"(-106.488234, 31.7550511)",253.511766,31.7550511,2.2748538011695905,3.6333333333333333,3.96,4.5
23,Fort Wayne IN,"(-85.1386015, 41.0799898)",274.8613985,41.0799898,0.017543859649122806,0.6,1.08,1.7625
24,Fresno CA,"(-119.782872, 36.738324)",240.217128,36.738324,0.04678362573099415,1.1,1.5,2.1875
25,Grand Rapids MI,"(-85.6678639, 42.9632425)",274.3321361,42.9632425,0.0,0.23333333333333334,0.68,1.225
26,Greenville SC,"(-82.3984882, 34.851354)",277.6015118,34.851354,0.005847953216374269,0.06666666666666667,0.16,0.7
27,Hartford CT,"(-72.6908547, 41.764582)",287.3091453,41.764582,0.0,0.0,0.0,0.0375
28,Houston TX,"(-95.3676974, 29.7589382)",264.6323026,29.7589382,0.06432748538011696,1.0,1.44,2.45
29,Indianapolis IN,"(-86.1583502, 39.7683331)",273.8416498,39.7683331,0.06432748538011696,1.5,1.9,2.45
30,Iowa,"(-93.3122705, 41.9216734)",266.6877295,41.9216734,0.17543859649122806,1.6333333333333333,1.96,2.55
31,Jacksonville FL-GA  CFS Area (FL Part),"(-81.655651, 30.3321838)",278.34434899999997,30.3321838,0.0,0.06666666666666667,0.16,0.9375
32,Kansas City MO-KS (KS Part),"(-94.5781416, 39.100105)",265.4218584,39.100105,1.2339181286549707,3.033333333333333,3.24,3.6375
33,Kansas City MO-KS (MO Part),"(-94.5781416, 39.100105)",265.4218584,39.100105,1.2339181286549707,3.033333333333333,3.24,3.6375
34,Knoxville TN,"(-83.9210261, 35.9603948)",276.0789739,35.9603948,0.017543859649122806,0.16666666666666666,0.32,0.9375
35,Laredo TX,"(-99.5075644, 27.5030915)",260.4924356,27.5030915,1.7017543859649122,3.9,4.44,5.525
36,Las Vegas NV-AZ (NV Part),"(-115.148516, 36.1672559)",244.851484,36.1672559,3.52046783625731,4.133333333333334,4.48,4.9375
37,Los Angeles CA,"(-118.242766, 34.0536909)",241.75723399999998,34.0536909,2.1578947368421053,3.6333333333333333,3.68,4.1125
38,Louisville KY-IN (KY Part),"(-85.759407, 38.2542376)",274.240593,38.2542376,0.017543859649122806,0.23333333333333334,0.6,1.225
39,Memphis TN-MS-AR (TN Part),"(-90.0517638, 35.1460249)",269.9482362,35.1460249,1.0058479532163742,2.2666666666666666,2.72,3.2125
40,Miami FL,"(-80.19362, 25.7741728)",279.80638,25.7741728,0.0,0.0,0.0,0.3625
41,Milwaukee WI,"(-87.922497, 43.0349931)",272.077503,43.0349931,0.0,0.16666666666666666,0.46,0.9625
42,Minneapolis-St. Paul MN-WI (MN Part),"(-93.22092805, 44.87801905)",266.77907195,44.87801905,0.005847953216374269,0.43333333333333335,0.8,1.3625
43,Mobile AL,"(-84.853229, 39.092585)",275.146771,39.092585,0.017543859649122806,0.6,1.08,1.7625
44,Nashville TN,"(-86.7742984, 36.1622767)",273.2257016,36.1622767,0.30994152046783624,1.1666666666666667,1.64,2.275
45,New Mexico,"(-105.996047, 34.5802074)",254.003953,34.5802074,0.47368421052631576,2.1666666666666665,2.48,2.9625
46,New Orleans LA-MS (LA Part),"(-90.0782127, 29.9759983)",269.9217873,29.9759983,0.0,0.0,0.04,0.525
47,New York NY-NJ-CT-PA (CT Part),"(-74.0060152, 40.7127281)",285.9939848,40.7127281,0.0,0.0,0.0,0.0375
48,New York NY-NJ-CT-PA (NJ Part),"(-74.0060152, 40.7127281)",285.9939848,40.7127281,0.0,0.0,0.0,0.0375
49,New York NY-NJ-CT-PA (NY Part),"(-74.0060152, 40.7127281)",285.9939848,40.7127281,0.0,0.0,0.0,0.0375
50,New York NY-NJ-CT-PA (PA Part),"(-74.0060152, 40.7127281)",285.9939848,40.7127281,0.0,0.0,0.0,0.0375
51,Oklahoma City OK,"(-97.5170536, 35.4729886)",262.4829464,35.4729886,3.4444444444444446,4.633333333333334,4.82,5.2625
52,Omaha NE-IA (NE Part),"(-95.9383758, 41.2587459)",264.0616242,41.2587459,1.2339181286549707,3.033333333333333,3.24,3.6375
53,Orlando FL,"(-81.41278419, 28.5479786)",278.58721581,28.5479786,0.0,0.06666666666666667,0.16,0.9375
54,Philadelphia PA-NJ-DE-MD (DE Part),"(-75.1635262, 39.9527237)",284.8364738,39.9527237,0.0,0.0,0.04,0.4375
55,Philadelphia PA-NJ-DE-MD (NJ Part),"(-75.1635262, 39.9527237)",284.8364738,39.9527237,0.0,0.0,0.04,0.4375
56,Philadelphia PA-NJ-DE-MD (PA Part),"(-75.1635262, 39.9527237)",284.8364738,39.9527237,0.0,0.0,0.04,0.4375
57,Phoenix AZ,"(-112.074141, 33.4484367)",247.925859,33.4484367,4.643274853801169,5.7,6.0,6.3375
58,Pittsburgh PA-OH-WV (PA Part),"(-79.9900861, 40.4416941)",280.0099139,40.4416941,0.0,0.0,0.04,0.3875
59,Portland OR-WA (OR Part),"(-122.674194, 45.5202471)",237.325806,45.5202471,0.0,0.0,0.0,0.0
60,Portland OR-WA (WA Part),"(-122.674194, 45.5202471)",237.325806,45.5202471,0.0,0.0,0.0,0.0
61,Raleigh-Durham NC,"(-79.0055354, 35.9017752)",280.9944646,35.9017752,0.005847953216374269,0.1,0.3,0.9625
62,Richmond VA,"(-77.46125149, 37.5578678)",282.53874851,37.5578678,0.0,0.03333333333333333,0.12,0.6375
63,Rochester NY,"(-77.615214, 43.157285)",282.384786,43.157285,0.0,0.0,0.04,0.425
