,dms_orig_string,dms_orig_coordinates,longitude,latitude,hot_days_hist_py,hot_days_future_py,hot_days_future2_py,hot_days_future3_py,hot_days_hist,hot_days_future,hot_days_future2,hot_days_future3,hot_days_change,hot_days_change2,hot_days_change3
43,Mobile AL,"(-84.853229, 39.092585)",275.146771,39.092585,409,991,1847,4451,409,991,1847,4451,582,1438,4042
44,Nashville TN,"(-86.7742984, 36.1622767)",273.2257016,36.1622767,621,1305,2268,5209,621,1305,2268,5209,684,1647,4588
45,New Mexico,"(-105.996047, 34.5802074)",254.003953,34.5802074,1189,2052,2841,5019,1189,2052,2841,5019,863,1652,3830
46,New Orleans LA-MS (LA Part),"(-90.0782127, 29.9759983)",269.9217873,29.9759983,2,58,339,4990,2,58,339,4990,56,337,4988
47,New York NY-NJ-CT-PA (CT Part),"(-74.0060152, 40.7127281)",285.9939848,40.7127281,2,11,133,2503,2,11,133,2503,9,131,2501
48,New York NY-NJ-CT-PA (NJ Part),"(-74.0060152, 40.7127281)",285.9939848,40.7127281,2,11,133,2503,2,11,133,2503,9,131,2501
49,New York NY-NJ-CT-PA (NY Part),"(-74.0060152, 40.7127281)",285.9939848,40.7127281,2,11,133,2503,2,11,133,2503,9,131,2501
50,New York NY-NJ-CT-PA (PA Part),"(-74.0060152, 40.7127281)",285.9939848,40.7127281,2,11,133,2503,2,11,133,2503,9,131,2501
51,Oklahoma City OK,"(-97.5170536, 35.4729886)",262.4829464,35.4729886,3523,4235,4955,6765,3523,4235,4955,6765,712,1432,3242
52,Omaha NE-IA (NE Part),"(-95.9383758, 41.2587459)",264.0616242,41.2587459,1715,2749,3404,5247,1715,2749,3404,5247,1034,1689,3532
53,Orlando FL,"(-81.41278419, 28.5479786)",278.58721581,28.5479786,43,237,969,5544,43,237,969,5544,194,926,5501
54,Philadelphia PA-NJ-DE-MD (DE Part),"(-75.1635262, 39.9527237)",284.8364738,39.9527237,67,255,735,3294,67,255,735,3294,188,668,3227
55,Philadelphia PA-NJ-DE-MD (NJ Part),"(-75.1635262, 39.9527237)",284.8364738,39.9527237,67,255,735,3294,67,255,735,3294,188,668,3227
56,Philadelphia PA-NJ-DE-MD (PA Part),"(-75.1635262, 39.9527237)",284.8364738,39.9527237,67,255,735,3294,67,255,735,3294,188,668,3227
57,Phoenix AZ,"(-112.074141, 33.4484367)",247.925859,33.4484367,4732,5195,5926,7964,4732,5195,5926,7964,463,1194,3232
58,Pittsburgh PA-OH-WV (PA Part),"(-79.9900861, 40.4416941)",280.0099139,40.4416941,51,248,704,3056,51,248,704,3056,197,653,3005
59,Portland OR-WA (OR Part),"(-122.674194, 45.5202471)",237.325806,45.5202471,0,0,11,877,0,0,11,877,0,11,877
60,Portland OR-WA (WA Part),"(-122.674194, 45.5202471)",237.325806,45.5202471,0,0,11,877,0,0,11,877,0,11,877
61,Raleigh-Durham NC,"(-79.0055354, 35.9017752)",280.9944646,35.9017752,146,478,1128,4330,146,478,1128,4330,332,982,4184
62,Richmond VA,"(-77.46125149, 37.5578678)",282.53874851,37.5578678,149,440,988,3694,149,440,988,3694,291,839,3545
63,Rochester NY,"(-77.615214, 43.157285)",282.384786,43.157285,25,160,607,3122,25,160,607,3122,135,582,3097
64,Sacramento CA,"(-121.493895, 38.5810606)",238.506105,38.5810606,672,1284,2380,4509,672,1284,2380,4509,612,1708,3837
65,Salt Lake City UT,"(-111.886797, 40.7596198)",248.113203,40.7596198,845,1555,2434,4129,845,1555,2434,4129,710,1589,3284
66,San Antonio TX,"(-98.4951405, 29.4246002)",261.5048595,29.4246002,1733,3225,4508,7433,1733,3225,4508,7433,1492,2775,5700
67,San Diego CA,"(-117.169295, 32.7166921)",242.830705,32.7166921,6,70,244,2087,6,70,244,2087,64,238,2081
68,San Francisco CA,"(-122.419906, 37.7790262)",237.580094,37.7790262,0,0,0,120,0,0,0,120,0,0,120
69,Savannah GA,"(-81.0921335, 32.0790074)",278.9078665,32.0790074,138,504,1270,4732,138,504,1270,4732,366,1132,4594
70,Seattle WA,"(-122.330062, 47.6038321)",237.669938,47.6038321,9,112,444,2506,9,112,444,2506,103,435,2497
71,St. Louis MO-IL (IL Part),"(-90.1910154, 38.6280278)",269.80898460000003,38.6280278,1090,1966,2770,5256,1090,1966,2770,5256,876,1680,4166
72,St. Louis MO-IL (MO Part),"(-90.1910154, 38.6280278)",269.80898460000003,38.6280278,1090,1966,2770,5256,1090,1966,2770,5256,876,1680,4166
73,Tampa FL,"(-82.4508736, 27.9529744)",277.5491264,27.9529744,43,237,969,5544,43,237,969,5544,194,926,5501
74,Tucson AZ,"(-110.974847, 32.2228765)",249.025153,32.2228765,3032,3655,4619,6631,3032,3655,4619,6631,623,1587,3599
75,Tulsa OK,"(-95.9927516, 36.1563122)",264.0072484,36.1563122,2465,3361,4290,6307,2465,3361,4290,6307,896,1825,3842
76,Vermont,"(-72.5002608, 44.5990718)",287.4997392,44.5990718,5,57,342,2497,5,57,342,2497,52,337,2492
77,Virginia Beach-Norfolk VA-NC (VA Part),"(-76.2863999, 36.8448348)",283.7136001,36.8448348,80,283,763,3686,80,283,763,3686,203,683,3606
78,Washington DC-VA-MD-WV (MD Part),"(-77.0365427, 38.8950368)",282.9634573,38.8950368,80,283,763,3686,80,283,763,3686,203,683,3606
79,Washington DC-VA-MD-WV (VA Part),"(-77.0365427, 38.8950368)",282.9634573,38.8950368,80,283,763,3686,80,283,763,3686,203,683,3606
80,Wichita KS,"(-97.3375448, 37.6922361)",262.6624552,37.6922361,3417,4146,4877,6447,3417,4146,4877,6447,729,1460,3030
81,Wyoming,"(-107.568534, 43.1700264)",252.431466,43.1700264,387,689,1461,3431,387,689,1461,3431,302,1074,3044
